Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (ﾀ),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/2010,"5 Braemor Drive, Churchtown, Co.Dublin",,Dublin,"ﾀ343,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2010,"134 Ashewood Walk, Summerhill Lane, Portlaoise",,Laois,"ﾀ185,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2010,"1 Meadow Avenue, Dundrum, Dublin 14",,Dublin,"ﾀ438,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"1 The Haven, Mornington",,Meath,"ﾀ400,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"11 Melville Heights, Kilkenny",,Kilkenny,"ﾀ160,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"12 Sallymount Avenue, Ranelagh",,Dublin,"ﾀ425,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"13  Oakleigh Wood, Dooradoyle, Limerick",,Limerick,"ﾀ172,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"13 The Drive, Chapelstown Gate, Tullow Road",,Carlow,"ﾀ177,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"15 Carriglawn, Waterpark, Carrigaline",,Cork,"ﾀ180,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"15a Moore Bay, Kilkee",,Clare,"ﾀ126,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"206 Philipsburgh Avenue, Marino, Dublin 3",,Dublin,"ﾀ430,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"22 Laverna Way, Castleknock, Dublin 15",,Dublin,"ﾀ355,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"23 Elton Park, Sandycove",,Dublin,"ﾀ1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"25  Lavallin Drive, Whitechurch, Cork",,Cork,"ﾀ352,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"25 Fairway Lawns, Bettystown",,Meath,"ﾀ273,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"29 Carysfort Woods, Blackrock",,Dublin,"ﾀ547,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"33 RAGIAN ROAD, BALLSBRIDGE, DUBLIN 4",,Dublin,"ﾀ700,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"4 Hawthorn Court, Collooney",,Sligo,"ﾀ220,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"44 Allen Park Road, Stillorgan, County Dublin",,Dublin,"ﾀ350,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"48 KILLIANS COURT, MULLAGH",,Cavan,"ﾀ122,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"49 ballynakelly green, newcastle",,Dublin,"ﾀ499,600.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"5 Clancy Road, Finglas, Dublin 11",,Dublin,"ﾀ205,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"54., brides glen avenue, swords",,Dublin,"ﾀ337,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"59 ormond keep, nenagh",,Tipperary,"ﾀ128,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"66 Rory O'Connor Place, Arklow",,Wicklow,"ﾀ145,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"78 Sundays Well Road, Cork",,Cork,"ﾀ510,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"90 Suncroft Drive, Tallaght, Dublin 24",,Dublin,"ﾀ147,950.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"Aughmagree, Kilteevan",,Roscommon,"ﾀ215,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"Ballyeden, Ballyoughter, Gorey",,Wexford,"ﾀ255,022.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"CARROWTRASNA, CARROWMORE LACKEN, BALLINA",,Mayo,"ﾀ245,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"Cloonlaughnan, Mount Talbot",,Roscommon,"ﾀ145,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"Killult, Falcarragh",,Donegal,"ﾀ215,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2010,"Knocknaree, Windsor Hill, Glounthaune",,Cork,"ﾀ475,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"Knock, Lanesboro",,Longford,"ﾀ125,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"No. 11 Blackrock Court, Quay Road, Ballina",,Mayo,"ﾀ172,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"No. 11, Charlotte Quay",,Limerick,"ﾀ164,167.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2010,"No. 12, Charlotte Quay",,Limerick,"ﾀ164,167.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2010,"No. 13, Charlotte Quay",,Limerick,"ﾀ164,167.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2010,"No. 18, Charlotte Quay",,Limerick,"ﾀ164,167.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2010,"Seikieran, Coldwood, Craughwell",,Galway,"ﾀ370,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"The Greenway, Mofel Farm Road, Cork",,Cork,"ﾀ160,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"The Mews, 11A Wyckham Park Road, Dundrum",Dublin 14,Dublin,"ﾀ345,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2010,"11 CASTLE COURT, BIRR",,Offaly,"ﾀ110,132.15",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2010,"12 CASTLE COURT, BIRR",,Offaly,"ﾀ110,132.15",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
