Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (ﾀ),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
02/01/2015,"108 THE HARDWICKE VILLAGE, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,"ﾀ138,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"12 THE CEDARS, MONKSTOWN VALLEY, MONKSTOWN",,Dublin,"ﾀ270,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"148 DEEL MANOR, ASKEATON, CO LIMERICK",,Limerick,"ﾀ67,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"4 SHREWSBURY, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"ﾀ900,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"41 THE BRIARY, BLAINROE, WICKLOW",,Wicklow,"ﾀ176,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"5 ASSUMPTION PLACE, CLONAKILTY, CORK",,Cork,"ﾀ155,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"Coore East, Mullagh, County Clare",,Clare,"ﾀ100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2015,"Kilerrin Road, Moylough, Ballinasloe",,Galway,"ﾀ120,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"PAINSTOWN, DONADEA, KILDARE",,Kildare,"ﾀ470,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2015,"21 THE VIEW, ST WOLSTANS ABBEY, CELBRIDGE",,Kildare,"ﾀ140,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2015,"46 HOLYWELL, UPR KILMACUD RD, DUBLIN 14",Dublin 14,Dublin,"ﾀ592,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2015,"29 ST MARYS TCE, KILLARNEY, KERRY",,Kerry,"ﾀ85,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2015,"73 FORBES QUAY, DUBLIN",Dublin 2,Dublin,"ﾀ422,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"1 WELLINGTON MEWS, COLLEGE ROAD, CORK",,Cork,"ﾀ225,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"107 SALMONVIEW APARTMENTS, BARRET STREET, BALLINA",,Mayo,"ﾀ55,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"11 Drumcrest, Knock",,Mayo,"ﾀ31,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2015,"11 THE MEWS, HOOK VIEW, COXTOWN EAST - DUNMORE EAST",,Waterford,"ﾀ105,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"12 ASSUMPTA PARK, ISLAND ROAD, LIMERICK",,Limerick,"ﾀ30,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"12 VILLA PARK AVE, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"ﾀ510,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"12 VILLAGE COURT, BALLYHAISE, CO CAVAN",,Cavan,"ﾀ50,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"147 OWENS AVE, CEANNT FORT, KILMAINHAM DUBLIN 8",Dublin 8,Dublin,"ﾀ306,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"15 WALSHESTOWN ABBEY, NEWBRIDGE, KILDARE",,Kildare,"ﾀ410,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"16 THE HEIGHTS, ROBSWALL, MALAHIDE",,Dublin,"ﾀ650,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"167 CRUISE PARK DR, TYRELLSTOWN, DUBLIN 15",Dublin 15,Dublin,"ﾀ160,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"17 THE COURT YARD, COLLEGE WOOD MANOR, CLANE",,Kildare,"ﾀ113,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"2 LINNETFIELDS COURT, CASTAHEANY, CLONEE",Dublin 15,Dublin,"ﾀ142,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"2 PARK GROVE, PARK ROAD, KILLARNEY",,Kerry,"ﾀ135,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"22 THE MILL STREAM, BLACKBOG RD, CARLOW",,Carlow,"ﾀ135,000.00",No,No,Second-Hand Dwelling house /Apartment,
