Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (ﾀ),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/2012,"78 Dollymount Park, Clontarf, Dublin 3",Dublin 3,Dublin,"ﾀ169,525.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2012,"1 Ballagh Cove, Enniscorthy",,Wexford,"ﾀ134,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2012,"Apartment 24, Fortfield Court, Terenure",Dublin 6w,Dublin,"ﾀ120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"12 Brookwood Crescent, Artane, Dublin 5",Dublin 5,Dublin,"ﾀ90,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"12 Larchfield, Kilkenny",,Kilkenny,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"13 Ardshanavooley, Killarney",,Kerry,"ﾀ240,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"182 Santry Close, Santry",,Dublin,"ﾀ360,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"24 Delacy Park, Shannon",,Clare,"ﾀ95,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"25 Avenue Grove, The Avenue, Gorey",,Wexford,"ﾀ78,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2012,"28  The Enclosure, Oldtown Demesne, Sallins Road  Naas",,Kildare,"ﾀ340,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"31 Glencairn Lawn, the gallops, sandyford",,Dublin,"ﾀ255,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"426 Millbrook, Riverside",,Sligo,"ﾀ100,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"48 Inis Cealtra, Ballina",,Tipperary,"ﾀ250,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
03/01/2012,"49 The Links, Seapoint, Termonfeckin",,Louth,"ﾀ320,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2012,"55 Ashington Gardens, Navan Road",,Dublin,"ﾀ255,000.00",No,No,Second-Hand Dwelling house /Apartment,
