Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (ﾀ),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/2011,"251 Clontarf Road, Clontarf",Dublin 3,Dublin,"ﾀ108,532.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"1 Lenaboy Gardens, Salthill",,Galway,"ﾀ300,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"1 The Standing Stone, Clongeen",,Wexford,"ﾀ143,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"15 Frenchville, Grattan Road, Galway",,Galway,"ﾀ330,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"20 Victoria Court, West End, Kilkee",,Clare,"ﾀ175,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"22 Hunters Avenue, Castlegrange, Williamstown Road",,Waterford,"ﾀ118,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"22 St. Patrick's Park, Clondalkin",,Dublin,"ﾀ360,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"25  Brightwater, Crosshaven",,Cork,"ﾀ225,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"4 WELLESLEY TERRACE, WELLINGTON ROAD",,Cork,"ﾀ188,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"60 WOODSIDE, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"ﾀ445,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"9 ASHCROFT, BALLINTEMPLE, BLACKROCK",,Cork,"ﾀ165,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"9 Shandon Crescent, Phibsboro, Dublin 7",,Dublin,"ﾀ220,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"Apartment 24 Baltrasna House, Spencer Dock, North Wall Quay",Dublin 1,Dublin,"ﾀ290,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"Ballyhearth, Clonfanlough, Athlone",,Offaly,"ﾀ155,700.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2011,"Court House Lane, Kilalloe, Co. Clare",,Clare,"ﾀ92,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"Deerpark, Foulksmills",,Wexford,"ﾀ40,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"Derreen West, Fanore",,Clare,"ﾀ430,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2011,"LOSSETT, CHURCHILL",,Donegal,"ﾀ200,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"'Rosary Cottage', McCurtainstown, Youghal",,Cork,"ﾀ65,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"1 Millbrook, Gibberwell, Duncormick",,Wexford,"ﾀ195,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2011,"10 CATLEKNOCK RISE, CASTLEKNOCK",,Dublin,"ﾀ328,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"13 Linenhall Terrace, Broadstone",Dublin 7,Dublin,"ﾀ290,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"13 Tinteskin Close  Kilmuckridge, Gorey, Co Wexford",,Wexford,"ﾀ124,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"14 Melrose Grove, Killorglin",,Kerry,"ﾀ175,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"16 The Moorings, Ballymahon Road, Athlone",,Wicklow,"ﾀ155,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"18 Castle Grove, Clontarf, Dublin 3",,Dublin,"ﾀ720,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"191 Charlotte Quay Dock, Ringsend Road",,Dublin,"ﾀ280,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"2 Pembroke Cottages, Ringsend, Dublin 4",Dublin 4,Dublin,"ﾀ190,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"20 Milltown Gate, Burgage Mor, Blessington",,Wicklow,"ﾀ299,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
05/01/2011,"282 Clonard Road, Crumlin",Dublin 12,Dublin,"ﾀ170,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"32 Cluain Aoibhinn, Craddockstown, Naas",,Kildare,"ﾀ181,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"33 Barrowville, Kilkenny Road, Carlow",,Carlow,"ﾀ263,436.12",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2011,"33 Kings Avenue, Dubiln 3",,Dublin,"ﾀ60,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"38 Kilmore Avenue, Coolock",Dublin 5,Dublin,"ﾀ270,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"50 Gracepark Road, Drumcondra",Dublin 1,Dublin,"ﾀ300,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"6 Childer's Park, Thurles",,Tipperary,"ﾀ75,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"7 O'Hickey Place, Carrick Beg, Carrick On Suir",,Tipperary,"ﾀ30,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"73 St Jarlath Road, Cabra",Dublin 7,Dublin,"ﾀ225,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"73 St Jarlath Road, Cabra",Dublin 7,Dublin,"ﾀ225,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"83 BROOKVILLE PARK, DROGHEDA",,Louth,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"Brownswood, Enniscorthy",,Wexford,"ﾀ50,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"GLEBE, OUGHTERARD",,Galway,"ﾀ235,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"Marist Convent Lands, Tubbercurry, Sligo",,Sligo,"ﾀ3,504,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2011,"Screen, Enniscorthy",,Wexford,"ﾀ90,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2011,"Shiphouse, Portarlington",,Laois,"ﾀ60,000.00",No,No,Second-Hand Dwelling house /Apartment,
